Date,Open,High,Low,Close,Adj Close,Volume
01-01-1997,14.95957565,15.7450428,14.95957565,15.66649628,10.36756229,141420708
02-01-1997,15.70576859,15.70933914,15.25234127,15.29518414,10.12183762,104297825
03-01-1997,15.17736435,15.51297283,15.17736435,15.47369862,10.23997593,98256323
06-01-1997,15.56652737,15.63793278,15.31660557,15.37373066,10.17381859,65774501
07-01-1997,15.35945034,15.59866047,15.26662159,15.48083973,10.24469948,96430149
08-01-1997,15.84858131,16.06279945,15.60223007,15.73433208,10.41245365,135386209
09-01-1997,15.6200819,15.84501076,15.52011299,15.69862938,10.38882828,100819130
10-01-1997,15.95926094,16.02352524,15.79859734,15.89499474,10.51877403,101562764
13-01-1997,15.70933914,15.92355824,15.60223007,15.87000275,10.50223541,83641324
14-01-1997,15.99496365,16.8161335,15.82358932,16.5019474,10.920434,107571355
15-01-1997,16.78043175,17.65872574,16.67689133,17.65872574,11.68595505,183709118
16-01-1997,18.89762115,18.89762115,16.95894623,17.21957779,11.39533901,213098067
17-01-1997,16.63761902,17.63730431,16.63761902,17.39809418,11.51347446,182292572
20-01-1997,17.42308617,17.45878983,16.65904045,16.77686119,11.10236359,107635775
21-01-1997,16.67332268,16.92324257,16.28772926,16.44839287,10.88499451,113626861
22-01-1997,16.92324257,17.60160065,16.92324257,17.5730381,11.62924767,146174505
23-01-1997,17.5730381,17.5730381,17.5730381,17.5730381,11.62924767,0
24-01-1997,17.99433327,18.64769936,17.99433327,18.50131798,12.24355316,260159179
27-01-1997,18.92261314,19.63667488,18.81550407,19.15825462,12.67828941,258328803
28-01-1997,19.54741669,19.71879196,19.11183929,19.65452576,13.00670528,167515121
29-01-1997,20.56495476,20.56495476,19.15825462,19.58312035,12.95945168,251764237
30-01-1997,19.2082386,19.88659668,19.17253494,19.56169891,12.94527626,296357071
31-01-1997,19.1761055,19.49386215,18.85120773,19.12255096,12.65466213,256153218
03-02-1997,18.52988052,18.90476227,17.85152245,18.06931114,11.95766449,193022749
04-02-1997,18.03717804,19.12969017,17.96577263,18.83692551,12.46564579,243697698
05-02-1997,19.38675308,19.55812836,18.65841103,18.78337288,12.43020535,183805748
06-02-1997,18.78337288,19.30106544,18.53344917,19.08684731,12.63103485,222702290
07-02-1997,19.17253494,19.66880608,18.99402046,19.54027557,12.93110085,227046457
10-02-1997,19.54741669,19.60097122,19.12969017,19.46887016,12.88384438,161497427
